Código interno|COD_SOC|Descrição Original|Descrição Final|LATERALIDADE|GRUPO|SUBGRUPO|Periodicidade Padrão|Preparo|TUSS|AMB|CBHPM|TIPO|
|migra32|Citomegalovirus IgG |Citomegalovírus IgG||LABORATORIAL|SANGUE|||40306666||40306666|UPDATE|
|40306674|Citomegalovirus IgM|Citomegalovirus IgM||LABORATORIAL|SANGUE|||40306674||40306674|UPDATE|
|mantris4165|Clearance de ácido úrico|Clearance de Ácido Úrico, sangue||LABORATORIAL|SORO|||40301494|28010400|40301494|UPDATE|
|mantris4167|Clearance de creatinina|Clearance de Creatinina, sangue||LABORATORIAL|SANGUE|||40301508|28010426|40301508|UPDATE|
|mantris4170|Clearance de uréia|Clearance de Uréia, sangue||LABORATORIAL|SANGUE|||40301524|28010450|40301524|UPDATE|
|mantris8616|Cloro - pesquisa e/ou dosagem|Cloro||LABORATORIAL|SANGUE|||40301559|28010469|40301559|UPDATE|
|1000000127|CLOROCATECOL|Clorocatecol||LABORATORIAL|URINA||||||UPDATE|
|mantris8617|Coagulograma completo|Coagulograma completo||LABORATORIAL|SANGUE|||40304922||40304922|UPDATE|
|mantris8618|Cobre - pesquisa e/ou dosagem|Cobre, soro||LABORATORIAL|SORO|||40301567|28150287|40301567|UPDATE|
|371|Colesterol Total e Frações|Colesterol Total e Frações||LABORATORIAL|SANGUE||||||UPDATE|EXAME DESMEMBRADO
|mantris4058|Colesterol (LDL)|Colesterol - LDL||LABORATORIAL|SANGUE|||40301591||40301591|UPDATE|
|mantris4059|Colesterol (VLDL)|Colesterol - VLDL||LABORATORIAL|SANGUE|||40302695||40302695|UPDATE|
|28010493|Colesterol HDL|Colesterol - HDL||LABORATORIAL|SANGUE|||40301583||40301583|UPDATE|
|37|Colesterol Total|Colesterol Total||LABORATORIAL|SANGUE|||40301605|28010507|40301605|UPDATE|
|13|Colinesterase Plasmática|Colinesterase||LABORATORIAL|SORO|||40313115|28150104|40313115|UPDATE|
|mantris3654|Coprocultura (salmonella, shigella e escherichia coli)|Coprocultura||LABORATORIAL|FEZES|||40310183|28100239|40310183|UPDATE|
|mantris8624|Coprológico funcional|Coprológico Funcional||LABORATORIAL|FEZES|||40303039|28030010|40303039|UPDATE|
|mantris8625|Coproporfirinas (para chumbo inorgânico)|Coproporfirinas ||LABORATORIAL|FEZES|||40313123|28150112|40313123|UPDATE|
|28050142|Cortisol|Cortisol||LABORATORIAL|SANGUE|||40316190|31120083|40316190|UPDATE|
|28010540|Creatinina|Creatinina||LABORATORIAL|SANGUE|||40301630|28010540|40301630|UPDATE|
|17112017|CPK|CPK||LABORATORIAL|SANGUE||||||UPDATE|Inativar - CPK = Creatino fosfoquinase total (CK)
|mantris8629|Creatino fosfoquinase total (CK)|Creatino Fosfoquinase Total (CK)||LABORATORIAL|SANGUE|||40301648||40301648|UPDATE|
|migra74|Cromo sanguíneo|Cromo, soro||LABORATORIAL|SORO|||40313310|28150139|40313310|UPDATE|
|mantris416|Cromo, urina|Cromo, urina||LABORATORIAL|URINA|||40313310|28150139|40313310|UPDATE|
|mantris8917|Cultura bacteriana de secreção nasal|Swab Nasal||LABORATORIAL|SECREÇÃO|||40310124|28100581|40310124|UPDATE|
