Código interno|COD_SOC|Descrição Original|Descrição Final|LATERALIDADE|GRUPO|SUBGRUPO|Periodicidade Padrão|Preparo|TUSS|AMB|CBHPM|TIPO|
|mantris6000|Avaliação gastroenterologica (avaliação clínica )|Avaliação Médica - Gastroenterologica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris8597|Avaliação Ginecologica|Avaliação Médica - Ginecológica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|migra48|Avaliação Hematologica|Avaliação Médica - Hematológica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|9058|Avaliação Médica com emissão da Carteira Sanitária|Avaliação Médica com emissão da Carteira Sanitária||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|1002|Avaliação Neurologica|Avaliação Médica - Neurológica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|avnutri|Avaliação Nutricional|Avaliação Nutricional||CONSULTA|CONSULTA|||20101074||20101074|UPDATE|
|mantris8599|Avaliação Odontológica|Avaliação Odontológica||CONSULTA|CONSULTA||||||UPDATE|
|32323232|Avaliação Oftalmológica|Avaliação Médica - Oftalmológica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris8600|Avaliação Ortopédica|Avaliação Médica - Ortopédica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris8767|Avaliação Otorrinolaringlogica|Avaliação Médica - Otorrinolaringológica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris8768|Avaliação Pneumologica|Avaliação Médica - Pneumológica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris433|Avaliação Psicológica/Psicossocial|Avaliação Psicológica/Psicossocial||CONSULTA|CONSULTA||||||UPDATE|EXAME DESMEMBRADO
|mantris9992|Avaliação psicossocial|Avaliação Psicossocial||CONSULTA|CONSULTA||||||UPDATE|
|mantris9990|Avaliação psicológica|Avaliação Psicológica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris9009|Avaliação Psicotécnica|Avaliação Psicotécnica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|migra6|Avaliação Psiquiatrica|Avaliação Médica - Psiquiátrica||CONSULTA|CONSULTA|||10101012|00010014|10101012|UPDATE|
|mantris398|Avaliação Vocal Clinica|Avaliação Médica - Vocal||CONSULTA|CONSULTA||||||UPDATE|
|mantris8947|Biometria ultra-sônica - monocular|Biometria Ultrassônica||IMAGEM|USG|||41501012|50010190|41501012|UPDATE|
|41301420|Biomicroscopia de fundo|Biomicroscopia de fundo||EXAME|EXAME||||||UPDATE|
|mantris8605|Broncoscopia com biópsia transbrônquica|Broncoscopia com biópsia transbrônquica||EXAME|EXAME|||40201031||40201031|UPDATE|
|690|Broncoscopia ou Broncofibroscopia - Para diagnostico colhieta de material|Broncoscopia com ou sem aspirado ou lavado brônquico bilateral||EXAME|EXAME|||40201058||40201058|UPDATE|
|migra9|CAMPIMETRIA COMPUTADORIZADA|Campimetria Computadorizada||EXAME|EXAME|||40103137||40103137|UPDATE|
|mantris8610|Cintilografia óssea (corpo inteiro)|Cintilografia Óssea (corpo inteiro)||EXAME|EXAME|||40706010|31060021|40706010|UPDATE|
|mantris8733|Cintilografia renal dinâmica|Renograma ||EXAME|EXAME|||40704017||40704017|UPDATE|
|mantris8615|Clister ou enema opaco (duplo contraste)|Clister Opaco (Duplo Contraste)||EXAME|EXAME|||40806081|32060106|40806081|UPDATE|
|mantris8622|Colonoscopia (inclui a retossigmoidoscopia)|Colonoscopia||EXAME|EXAME|||40201082||40201082|UPDATE|
|migra41|Colposcopia|Colposcopia||EXAME|EXAME|||41301102|45010021|41301102|UPDATE|
|546456|Consulta Assistencial|Consulta Assistencial||CONSULTA|CONSULTA|||10101012||10101012|UPDATE|
|mantris8642|Consulta de avaliação de enquadramento|Consulta de avaliação de enquadramento||CONSULTA|CONSULTA|||10101012||10101012|UPDATE|
|32.08.008-5|Densitometria óssea|Densitometria Óssea||EXAME|EXAME|||40808149|32080085|40808149|UPDATE|
|mantris8912|Dosagem de Alcool Etilico (sangue)|Dosagem Médica - De Alcool Etilico||LABORATORIAL|SANGUE||||||UPDATE|
|mantris8994|Dosagem de ALDRIN|Dosagem de ALDRIN||LABORATORIAL|SORO||||||UPDATE|
|mantris8997|Dosagem de ALFA BHC|Dosagem de ALFA BHC||LABORATORIAL|SORO||||||UPDATE|
